# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 678  of event 'cache-misses'
# Event count (approx.): 5848014
#
# Overhead  Command         Shared Object         Symbol                
# ........  ..............  ....................  ......................
#
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa6cb1319
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd4b5
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa6cbeebb
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa69d6de5
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa6cf11e6
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa6c1ecbc
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa6943b8b
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa7987719
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa7972016
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc337
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa6c4d8e4
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6bb774e
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6c4c31d
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6cba0e1
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6c49ec8
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6cb12db
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa69d11a5
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc385
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa797210b
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6c1ecbf
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6cbef02
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6cb128d
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6bc9100
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6c4c350
     0.24%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc389
     0.24%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc397
     0.23%  part2-parallel  [unknown]             [k] 0xffffffffa6c460ca
     0.23%  part2-parallel  [unknown]             [k] 0xffffffffa6cb1299
     0.23%  part2-parallel  [unknown]             [k] 0xffffffffa7983edc
     0.23%  part2-parallel  [unknown]             [k] 0xffffffffa699c30c
